,t_s,H_m,Qw_m3s,Ai_m2,todoy,iceon,tau,starth,gravelz,Hdl,His,Ta,Uw,rh,P,Ta_C,Hstar,Astar,Qstar,Tw_C,thawingdegreedays
141,1522800,0.0,0.0,0.0,151,274,14,0.5,0.5,185.218925,2.0,-21.83,0.0,0.8009999999999999,98500.0,-21.83,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
142,1533600,0.0,0.0,0.0,151,274,14,0.5,0.5,184.28275,0.0,-21.51,0.0,0.802,98400.0,-21.51,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
143,1544400,0.0,0.0,0.0,151,274,14,0.5,0.5,183.346575,0.0,-22.68,0.0,0.7959,98400.0,-22.68,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
144,1555200,0.0,0.0,0.0,151,274,14,0.5,0.5,182.41039999999998,0.0,-23.44,0.0,0.7887000000000001,98300.0,-23.44,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
145,1566000,0.0,0.0,0.0,151,274,14,0.5,0.5,181.474225,0.0,-23.18,0.0,0.7908,98300.0,-23.18,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
146,1576800,0.0,0.0,0.0,151,274,14,0.5,0.5,180.53805,0.0,-23.35,0.0,0.7890999999999999,98300.0,-23.35,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
147,1587600,0.0,0.0,0.0,151,274,14,0.5,0.5,179.60187499999998,0.0,-23.02,0.0,0.7911,98200.0,-23.02,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
148,1598400,0.0,0.0,0.0,151,274,14,0.5,0.5,178.6657,2.0,-22.92,0.0,0.7920999999999999,98300.0,-22.92,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
149,1609200,0.0,0.0,0.0,151,274,14,0.5,0.5,178.9321125,3.0,-23.91,0.0,0.7817000000000001,98300.0,-23.91,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
150,1620000,0.0,0.0,0.0,151,274,14,0.5,0.5,179.198525,0.0,-24.25,0.0,0.7836,98300.0,-24.25,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
